book_id,title,author,genre
742,Animal Farm,George Orwell,Political Satire
1918,The Little Prince,Antoine de Saint-Exupéry,Fiction
209,The Great Gatsby,F. Scott Fitzgerald,Classic
1547,Pride and Prejudice,Jane Austen,Classic
283,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy
480,And Then There Were None,Agatha Christie,Mystery
1081,1984,George Orwell,Dystopian
1892,Brave New World,Aldous Huxley,Dystopian
112,Brave New World,Aldous Huxley,Dystopian
1475,Angels & Demons,Dan Brown,Thriller
1893,Fahrenheit 451,Ray Bradbury,Dystopian
619,Murder on the Orient Express,Agatha Christie,Mystery
421,1984,George Orwell,Dystopian
1681,1984,George Orwell,Dystopian
1967,Pride and Prejudice,Jane Austen,Classic
1407,Pride and Prejudice,Jane Austen,Classic
1469,The Great Gatsby,F. Scott Fitzgerald,Classic
1611,The Catcher in the Rye,J.D. Salinger,Classic
1993,Fahrenheit 451,Ray Bradbury,Dystopian
651,The Catcher in the Rye,J.D. Salinger,Classic
1221,1984,George Orwell,Dystopian
1856,The Girl with the Dragon Tattoo,Stieg Larsson,Crime
1972,Brave New World,Aldous Huxley,Dystopian
1742,Animal Farm,George Orwell,Political Satire
411,The Catcher in the Rye,J.D. Salinger,Classic
675,Angels & Demons,Dan Brown,Thriller
846,The Lord of the Rings,J.R.R. Tolkien,Fantasy
1196,The Girl with the Dragon Tattoo,Stieg Larsson,Crime
1668,Sense and Sensibility,Jane Austen,Classic
101,1984,George Orwell,Dystopian
678,The Little Prince,Antoine de Saint-Exupéry,Fiction
621,1984,George Orwell,Dystopian
355,Angels & Demons,Dan Brown,Thriller
793,Fahrenheit 451,Ray Bradbury,Dystopian
531,The Catcher in the Rye,J.D. Salinger,Classic
508,Sense and Sensibility,Jane Austen,Classic
30,To Kill a Mockingbird,Harper Lee,Classic
45,The Hobbit,J.R.R. Tolkien,Fantasy
942,Animal Farm,George Orwell,Political Satire
212,Brave New World,Aldous Huxley,Dystopian
1988,Sense and Sensibility,Jane Austen,Classic
788,Sense and Sensibility,Jane Austen,Classic
451,The Catcher in the Rye,J.D. Salinger,Classic
789,The Great Gatsby,F. Scott Fitzgerald,Classic
1698,The Little Prince,Antoine de Saint-Exupéry,Fiction
965,The Hobbit,J.R.R. Tolkien,Fantasy
1676,The Girl with the Dragon Tattoo,Stieg Larsson,Crime
1658,The Little Prince,Antoine de Saint-Exupéry,Fiction
671,The Catcher in the Rye,J.D. Salinger,Classic
1318,The Little Prince,Antoine de Saint-Exupéry,Fiction
1079,Murder on the Orient Express,Agatha Christie,Mystery
1384,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
706,The Lord of the Rings,J.R.R. Tolkien,Fantasy
1447,Pride and Prejudice,Jane Austen,Classic
756,The Girl with the Dragon Tattoo,Stieg Larsson,Crime
964,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
1122,Animal Farm,George Orwell,Political Satire
180,And Then There Were None,Agatha Christie,Mystery
1183,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy
1375,Angels & Demons,Dan Brown,Thriller
927,Pride and Prejudice,Jane Austen,Classic
135,Angels & Demons,Dan Brown,Thriller
648,Sense and Sensibility,Jane Austen,Classic
1554,The Da Vinci Code,Dan Brown,Thriller
1288,Sense and Sensibility,Jane Austen,Classic
1138,The Little Prince,Antoine de Saint-Exupéry,Fiction
1848,Sense and Sensibility,Jane Austen,Classic
1402,Animal Farm,George Orwell,Political Satire
841,1984,George Orwell,Dystopian
643,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy
808,Sense and Sensibility,Jane Austen,Classic
1305,The Hobbit,J.R.R. Tolkien,Fantasy
765,The Hobbit,J.R.R. Tolkien,Fantasy
465,The Hobbit,J.R.R. Tolkien,Fantasy
1826,The Lord of the Rings,J.R.R. Tolkien,Fantasy
1453,Fahrenheit 451,Ray Bradbury,Dystopian
367,Pride and Prejudice,Jane Austen,Classic
1833,Fahrenheit 451,Ray Bradbury,Dystopian
1804,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
1442,Animal Farm,George Orwell,Political Satire
1524,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
1230,To Kill a Mockingbird,Harper Lee,Classic
1361,1984,George Orwell,Dystopian
1926,The Lord of the Rings,J.R.R. Tolkien,Fantasy
1121,1984,George Orwell,Dystopian
433,Fahrenheit 451,Ray Bradbury,Dystopian
1638,The Little Prince,Antoine de Saint-Exupéry,Fiction
582,Animal Farm,George Orwell,Political Satire
1853,Fahrenheit 451,Ray Bradbury,Dystopian
1939,Murder on the Orient Express,Agatha Christie,Mystery
57,The Alchemist,Paulo Coelho,Fiction
820,And Then There Were None,Agatha Christie,Mystery
1059,Murder on the Orient Express,Agatha Christie,Mystery
458,The Little Prince,Antoine de Saint-Exupéry,Fiction
472,Brave New World,Aldous Huxley,Dystopian
1973,Fahrenheit 451,Ray Bradbury,Dystopian
1118,The Little Prince,Antoine de Saint-Exupéry,Fiction
924,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
1621,1984,George Orwell,Dystopian
431,The Catcher in the Rye,J.D. Salinger,Classic
1462,Animal Farm,George Orwell,Political Satire
696,The Girl with the Dragon Tattoo,Stieg Larsson,Crime
1331,The Catcher in the Rye,J.D. Salinger,Classic
999,Murder on the Orient Express,Agatha Christie,Mystery
1948,Sense and Sensibility,Jane Austen,Classic
1821,1984,George Orwell,Dystopian
863,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy
1721,1984,George Orwell,Dystopian
1725,The Hobbit,J.R.R. Tolkien,Fantasy
1710,To Kill a Mockingbird,Harper Lee,Classic
695,Angels & Demons,Dan Brown,Thriller
248,Sense and Sensibility,Jane Austen,Classic
1764,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
1819,Murder on the Orient Express,Agatha Christie,Mystery
481,1984,George Orwell,Dystopian
97,The Alchemist,Paulo Coelho,Fiction
1647,Pride and Prejudice,Jane Austen,Classic
57,The Alchemist,Paulo Coelho,Fiction
612,Brave New World,Aldous Huxley,Dystopian
409,The Great Gatsby,F. Scott Fitzgerald,Classic
529,The Great Gatsby,F. Scott Fitzgerald,Classic
1473,Fahrenheit 451,Ray Bradbury,Dystopian
747,Pride and Prejudice,Jane Austen,Classic
1888,Sense and Sensibility,Jane Austen,Classic
1076,The Girl with the Dragon Tattoo,Stieg Larsson,Crime
415,Angels & Demons,Dan Brown,Thriller
441,1984,George Orwell,Dystopian
1887,Pride and Prejudice,Jane Austen,Classic
189,The Great Gatsby,F. Scott Fitzgerald,Classic
1570,To Kill a Mockingbird,Harper Lee,Classic
1667,Pride and Prejudice,Jane Austen,Classic
417,The Alchemist,Paulo Coelho,Fiction
1246,The Lord of the Rings,J.R.R. Tolkien,Fantasy
473,Fahrenheit 451,Ray Bradbury,Dystopian
271,The Catcher in the Rye,J.D. Salinger,Classic
483,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy
368,Sense and Sensibility,Jane Austen,Classic
1648,Sense and Sensibility,Jane Austen,Classic
424,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
1540,And Then There Were None,Agatha Christie,Mystery
1319,Murder on the Orient Express,Agatha Christie,Mystery
671,The Catcher in the Rye,J.D. Salinger,Classic
1062,Animal Farm,George Orwell,Political Satire
291,The Catcher in the Rye,J.D. Salinger,Classic
1746,The Lord of the Rings,J.R.R. Tolkien,Fantasy
1627,Pride and Prejudice,Jane Austen,Classic
197,The Alchemist,Paulo Coelho,Fiction
907,Pride and Prejudice,Jane Austen,Classic
1302,Animal Farm,George Orwell,Political Satire
1186,The Lord of the Rings,J.R.R. Tolkien,Fantasy
1415,Angels & Demons,Dan Brown,Thriller
931,The Catcher in the Rye,J.D. Salinger,Classic
1042,Animal Farm,George Orwell,Political Satire
384,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
1238,The Little Prince,Antoine de Saint-Exupéry,Fiction
941,1984,George Orwell,Dystopian
1613,Fahrenheit 451,Ray Bradbury,Dystopian
71,The Catcher in the Rye,J.D. Salinger,Classic
889,The Great Gatsby,F. Scott Fitzgerald,Classic
631,The Catcher in the Rye,J.D. Salinger,Classic
932,Brave New World,Aldous Huxley,Dystopian
1293,Fahrenheit 451,Ray Bradbury,Dystopian
1208,Sense and Sensibility,Jane Austen,Classic
508,Sense and Sensibility,Jane Austen,Classic
1875,Angels & Demons,Dan Brown,Thriller
882,Animal Farm,George Orwell,Political Satire
1693,Fahrenheit 451,Ray Bradbury,Dystopian
756,The Girl with the Dragon Tattoo,Stieg Larsson,Crime
1995,Angels & Demons,Dan Brown,Thriller
856,The Girl with the Dragon Tattoo,Stieg Larsson,Crime
938,The Little Prince,Antoine de Saint-Exupéry,Fiction
158,The Little Prince,Antoine de Saint-Exupéry,Fiction
1612,Brave New World,Aldous Huxley,Dystopian
136,The Girl with the Dragon Tattoo,Stieg Larsson,Crime
1737,The Alchemist,Paulo Coelho,Fiction
1114,The Da Vinci Code,Dan Brown,Thriller
1981,1984,George Orwell,Dystopian
1341,1984,George Orwell,Dystopian
496,The Girl with the Dragon Tattoo,Stieg Larsson,Crime
811,The Catcher in the Rye,J.D. Salinger,Classic
52,Brave New World,Aldous Huxley,Dystopian
1964,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
1791,The Catcher in the Rye,J.D. Salinger,Classic
1264,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
1383,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy
260,And Then There Were None,Agatha Christie,Mystery
1674,The Da Vinci Code,Dan Brown,Thriller
1704,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
68,Sense and Sensibility,Jane Austen,Classic
1652,Brave New World,Aldous Huxley,Dystopian
1726,The Lord of the Rings,J.R.R. Tolkien,Fantasy
1037,The Alchemist,Paulo Coelho,Fiction
486,The Lord of the Rings,J.R.R. Tolkien,Fantasy
252,Brave New World,Aldous Huxley,Dystopian
1404,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
219,Murder on the Orient Express,Agatha Christie,Mystery
1133,Fahrenheit 451,Ray Bradbury,Dystopian
436,The Girl with the Dragon Tattoo,Stieg Larsson,Crime
1669,The Great Gatsby,F. Scott Fitzgerald,Classic
304,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
407,Pride and Prejudice,Jane Austen,Classic
1581,1984,George Orwell,Dystopian
803,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy
1702,Animal Farm,George Orwell,Political Satire
1727,Pride and Prejudice,Jane Austen,Classic
70,To Kill a Mockingbird,Harper Lee,Classic
1608,Sense and Sensibility,Jane Austen,Classic
1299,Murder on the Orient Express,Agatha Christie,Mystery
1825,The Hobbit,J.R.R. Tolkien,Fantasy
1646,The Lord of the Rings,J.R.R. Tolkien,Fantasy
343,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy
1889,The Great Gatsby,F. Scott Fitzgerald,Classic
464,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
308,Sense and Sensibility,Jane Austen,Classic
